Geschäftsnummer;Bewilligungsdatum;Endverbraucherland;AG (GKV);MTCR (GKV);NSGI (GKV);NSGII (GKV);WA (GKV);ML (GKV);Anhang 5.1;Anhang 5.2;ChKV; Wert 
11738;04.01.2012;China;;;;2B201b;2B001c;;;;; Fr. 492'552.00 
11746;04.01.2012;China;;;;2B201a1;2B001b2;;;;; Fr. 341'164.00 
11747;04.01.2012;Thailand;;;;;;;5.1;;; Fr. 7'616.00 
11747;04.01.2012;Thailand;;;;;;;5.1;;; Fr. 6'241.00 
11747;04.01.2012;Thailand;;;;;;;5.1;;; Fr. 1'174.00 
11747;04.01.2012;Thailand;;;;;;;5.1;;; Fr. 2'156.00 
11748;04.01.2012;Türkei;;;;;;18a;;;; Fr. 150'900.00 
11693;05.01.2012;Kenia;;;;;5A001f;;;;; Fr. 159'700.00 
11710;05.01.2012;Indien;1C350.43;;;;;;;;; Fr. 18'752.00 
11749;05.01.2012;Taiwan, Provinz von China;2B350g2;;;;;;;;; Fr. 24'000.00 
11750;05.01.2012;Indien;;;;2B201a1;2B001b2;;;;; Fr. 370'296.00 
11751;05.01.2012;Serbien;;;;2B201a;;;;;; Fr. 7'200.00 
11752;05.01.2012;Indien;;;;;;4c;;;; Fr. 6'037.00 
11753;05.01.2012;Rumänien;;;;;2B001d;;;;; Fr. 7'830.00 
11755;06.01.2012;China;;;;2B201a1;;;;;; Fr. 215'987.00 
11756;06.01.2012;China;;;;2B201a1;;;;;; Fr. 234'736.00 
11757;06.01.2012;Brasilien;;;;2B231;;;;;; Fr. 69'900.00 
11758;06.01.2012;Brasilien;;;;2B231;;;;;; Fr. 139'800.00 
11759;06.01.2012;Slowenien;;;;;2B001a;;;;; Fr. 231'815.00 
11760;09.01.2012;Marokko;;;;;;;;5.2;; Fr. 420'000.00 
11761;09.01.2012;China;;;;;7B003a;;;;; Fr. 2'145'000.00 
11762;09.01.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 36'580.00 
11763;09.01.2012;China;;;;;3A001a2c;;;;; Fr. 5'800.00 
11764;09.01.2012;China;;;;2B201b1;;;;;; Fr. 653'000.00 
11765;09.01.2012;China;;;;2B201b1;2B001c;;;;; Fr. 731'500.00 
11766;10.01.2012;Russische Föderation;;;;;;1a;;;; Fr. 5'430.00 
11767;10.01.2012;Russische Föderation;;;;;;1a;;;; Fr. 5'055.00 
11768;10.01.2012;Russische Föderation;;;;;;1a;;;; Fr. 6'738.00 
11769;10.01.2012;Saudi-Arabien;;;;;6A002c1;;;;; Fr. 23'200.00 
11770;10.01.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 7'800.00 
11771;11.01.2012;Russische Föderation;;;;2B201a1;;;;;; Fr. 251'762.00 
11772;11.01.2012;China;;;;;3A001a5a3;;;;; Fr. 8'010.00 
11773;11.01.2012;Russische Föderation;;;;2B201a;2B001b;;;;; Fr. 599'180.00 
11774;12.01.2012;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 3'080'716.00 
11775;12.01.2012;Russische Föderation;;;;2B201a;2B001b;;;;; Fr. 2'160'000.00 
11776;12.01.2012;Russische Föderation;;;;2B201a;2B001b1;;;;; Fr. 451'493.00 
11777;12.01.2012;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 451'493.00 
11778;12.01.2012;China;;;;;3A001a2c;;;;; Fr. 8'200.00 
11779;12.01.2012;Thailand;;;;;;11;;;; Fr. 54'500.00 
11780;12.01.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 414'000.00 
11781;12.01.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 165'600.00 
11782;12.01.2012;Vereinigte Staaten;;;;;;;5.1;;; Fr. 46'000.00 
11783;13.01.2012;China;;7A103a;;;;;;;; Fr. 151'596.00 
11784;13.01.2012;Indien;;;;;3A002g2;;;;; Fr. 50'244.00 
11785;13.01.2012;Ungarn;;;;;;16;;;; Fr. 4'000.00 
