  Ausfuhren von Kriegsmaterial nach Kategorie pro Endempfängerstaat (01.01. - 31.12.2006);;;;;;;;;;;;;;;
  Exportations de matériel de guerre par catégorie et pays de destination (01.01. - 31.12.2006);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Kontinent;Land;Total;KM 1;KM 2;KM 3;KM 4;KM 5;KM 6;KM 7;KM 8;KM 10;KM 16;;KM 9 / KM 11 - 15 /;
Continent;Pays;;;;;;;;;;;;;KM 17 - 22;
;;;;;;;;;;;;;;;
Total;;397'611'423;18'435'007;45'483'498;75'693'397;2'937'180;23'059'726;162'597'462;185'976;13'408'026;55'061'907;749'244;;;
;;;;;;;;;;;;;;;
Europa;Belgien / Belgique;5'901'673;318'564;3'195;5'349'823;;;;;41'260;188'831;;;;
Europe;Bosnien / Bosnie;19'080;13'700;;5'380;;;;;;;;;;
;Bulgarien / Bulgarie;841'159;5'000;;836'159;;;;;;;;;;
;Dänemark / Danemark;100'785'859;61'812;;7'695'115;;;92'814'715;;214'217;;;;;
;Deutschland / Allemagne;55'664'922;6'086'157;14'843'483;19'935'975;314'369;531'840;10'667'089;88'280;2'242'842;379'431;575'456;;;
;Estland / Estonie;452'751;452'751;;;;;;;;;;;;
;Finnland / Finlande;13'301'168;110'252;303'878;26'184;;;12'860'854;;;;;;;
;Frankreich / France;18'674'740;1'152'800;5'024'844;5'264'080;;519'427;483'752;;10'000;6'219'837;;;;
;Griechenland / Grèce;8'287'188;19'960;6'991'139;40'395;;824'423;280'987;;;;130'284;;;
;Gr. Britannien / Royaume Uni ;14'282'577;544'159;1'484'177;1'447'112;;715'495;20'000;;9'013'508;1'058'126;;;;
;Irland / Irlande;4'057'268;22'248;509'685;;;;3'525'335;;;;;;;
;Island / Islande;7'980;7'980;;;;;;;;;;;;
;Italien / Italie;9'301'879;1'161'990;443'338;716'976;;4'621'330;2'332'091;;26'154;;;;;
;Kroatien / Croatie;13'809;13'809;;;;;;;;;;;;
;Lettland / Letonie;38'230;38'230;;;;;;;;;;;;
;Litauen / Lituanie;122'458;26'540;;6'222;;;;89'696;;;;;;
;Luxemburg / Luxembourg ;764'383;134'010;;120'675;509'698;;;;;;;;;
;Niederlande / Pays-Bas;11'840'580;543'533;274'772;7'712'515;2'087'139;;743'527;;12'517;466'577;;;;
;Norwegen / Norvège;1'804'603;338'544;;1'208'478;;;2'581;;;255'000;;;;
;Österreich / Autriche;2'222'000;201'128;1'196'620;335'449;;;311'556;;;177'247;;;;
;Polen / Pologne;1'434'788;179'957;;1'254'831;;;;;;;;;;
;Portugal / Portugal;155'934;;;155'934;;;;;;;;;;
;Rumänien / Roumanie;296'849;178'396;95'908;;;5'345;;;;17'200;;;;
;San Marino / St Marin;16'274;16'274;;;;;;;;;;;;
;Schweden / Suède;11'980'724;175'954;1'387'300;4'106'517;;2'302'972;3'678'732;;329'249;;;;;
;Slowakai / Slovaquie;16'868;16'868;;;;;;;;;;;;
;Slowenien / Slovenie;34'438;12'890;;21'548;;;;;;;;;;
;Spanien / Espagne;18'945'695;27'286;4'752'187;6'563'264;25'974;6'277'872;675'331;8'000;605'368;;10'413;;;
;Tschechien / Rép. Tchèque;145'401;98'575;;46'826;;;;;;;;;;
;Türkei / Turquie;1'008'614;41'720;;;;966'894;;;;;;;;
