Ausfuhren von Kriegsmaterial nach Kategorie pro Endempfängerstaat (01.01. - 31.12.2007);;;;;;;;;;;;;;;;
Exportations de matériel de guerre par catégorie et pays de destination (01.01. - 31.12.2007);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Kontinent;Land;;Total;KM 1;KM 2;KM 3;KM 4;KM 5;KM 6;KM 7;KM 8;KM 10;KM 16;;KM 9 / KM 11 - 15 /;
Continent;Pays;;;;;;;;;;;;;;KM 17 - 22;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Total;;;464'482'098;20'725'871;83'862'712;121'917'377;338'542;47'926'002;125'023'732;44'077;19'382'582;44'497'260;763'943;;;
;;;;;;;;;;;;;;;;
Europa;Belgien;Belgique;5'555'830;300'229;913'770;3'966'304;;;;;375'527;;;;;
Europe;Bosnien und Herzeg.;Bosnie et Herzég.;32'000;31'500;;500;;;;;;;;;;
;Bulgarien;Bulgarie;47'627;47'627;;;;;;;;;;;;
;Dänemark;Danemark;42'032'603;25'351;11'788'307;5'596'382;;5'834'848;18'066'354;;721'361;;;;;
;Deutschland;Allemagne;61'746'284;4'969'896;11'921'930;28'341'760;238'217;614'076;11'736'064;1'991;2'859'034;384'388;678'928;;;
;Estland;Estonie;5'639;5'639;;;;;;;;;;;;
;Finnland;Finlande;16'310'739;86'949;612'001;27'640;;;15'487'387;;96'762;;;;;
;Frankreich;France;18'541'158;1'020'111;2'992'946;7'225'641;77'952;170'000;121'300;;442'783;6'490'425;;;;
;Griechenland;Grèce;17'993'240;14'870;6'513'848;629'000;;10'709'359;78'086;;;;48'077;;;
;Grossbritannien;Grande-Bretagne;39'519'805;737'382;1'721'069;24'722'745;;216'212;;;10'461'958;1'660'439;;;;
;Irland;Irlande;50'681'182;25'478;;12'223;;;50'643'481;;;;;;;
;Island;Islande;4'446;4'446;;;;;;;;;;;;
;Italien;Italie;17'201'696;785'891;2'473'084;1'656'300;;12'232'146;54'275;;;;;;;
;Kasachstan;Kazakhstan;353'636;327'376;;26'260;;;;;;;;;;
;Kroatien;Croatie;19'900;19'900;;;;;;;;;;;;
;Litauen;Lituanie;61'637;26'777;;34'860;;;;;;;;;;
;Luxemburg;Luxembourg;247'028;85'648;;161'380;;;;;;;;;;
;Malta;Malte;6'905;6'905;;;;;;;;;;;;
;Niederlande;Pays-Bas;27'182'139;691'342;4'479'845;16'825'120;;;4'867'416;;30'700;282'807;4'909;;;
;Norwegen;Norvège;6'796'117;1'158'911;;4'671'442;;;142'486;;823'278;;;;;
;Österreich;Autriche;6'151'458;691'508;1'703'659;3'134'189;;114'030;296'893;;211'179;;;;;
;Polen;Pologne;5'988'638;211'578;;5'777'060;;;;;;;;;;
;Portugal;Portugal;67'819;67'819;;;;;;;;;;;;
;Rumänien;Roumanie;676'892;602'894;30'115;37'000;;;;;;6'883;;;;
;Russland;Russie;31'207;28'178;;3'029;;;;;;;;;;
;San Marino;Saint-Marin;9'755;9'755;;;;;;;;;;;;
;Schweden;Suède;13'442'888;580'483;2'586'720;3'295'214;;1'174'848;4'434'256;10'400;414'462;946'505;;;;
;Slowakei;Slovaquie;93'301;93'301;;;;;;;;;;;;
;Slowenien;Slovénie;22'213;22'213;;;;;;;;;;;;
