Ausfuhren von Kriegsmaterial nach Kategorie pro Endempfängerstaat (01.01. - 31.12.2009);;;;;;;;;;;;;;
Exportations de matériel de guerre par catégorie et pays de destination (01.01. - 31.12.2009);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Kontinent;Land;;Total;KM 1;KM 2;KM 3;KM 4;KM 5;KM 6;KM 7;KM 8;KM 10;KM 16;KM 9  / KM 11-15 /
Continent;Pays;;;;;;;;;;;;;KM 17 - 22
;;;;;;;;;;;;;;
Total;;;727'722'790;22'421'458;97'090'517;174'589'294;16'264'966;116'609'061;239'679'115;67'076;21'471'916;38'782'385;747'002;0
;;;;;;;;;;;;;;
Europa;Belgien;Belgique;59'731'591;571'185;;1'920'469;29'450;;56'016'288;;905'600;288'599;;
Europe;Bosnien und Herzeg.;Bosnie et Herzég.;64'563;64'563;;;;;;;;;;
;Bulgarien;Bulgarie;152'619;34'821;;117'798;;;;;;;;
;Dänemark;Danemark;77'349'831;89'447;259'073;18'953'284;;;57'658'881;;389'146;;;
;Deutschland;Allemagne;138'239'475;5'428'103;7'358'543;26'431'080;233'628;593'696;92'831'359;6'225;4'722'775;436'689;197'377;
;Estland;Estonie;410'720;402'917;;7'803;;;;;;;;
;Finnland;Finlande;2'317'393;101'250;1'255'522;15'810;;10'746;;;;934'065;;
;Frankreich;France;15'370'007;2'293'404;1'735'493;7'886'872;426'831;774'550;;31;72'538;1'910'035;270'253;
;Griechenland;Grèce;4'213'926;1'700;1'643'022;;;2'569'204;;;;;;
;Grossbritannien;Grande-Bretagne;69'271'409;186'243;2'056'035;48'661'565;4'133'149;;;;11'978'753;2'255'664;;
;Heiliger Stuhl;Saint Siège;3'800;;;3'800;;;;;;;;
;Irland;Irlande;9'737'510;4'593;;5'267'428;1'672'829;;2'792'660;;;;;
;Italien;Italie;12'392'027;1'141'153;665'987;2'563'986;;7'292'970;;;596'886;;131'045;
;Kosovo;Kosovo;68'418;;;68'418;;;;;;;;
;Kroatien;Croatie;3'243;3'243;;;;;;;;;;
;Lettland;Lettonie;87'772;43'972;;43'800;;;;;;;;
;Litauen;Lituanie;3'450;3'450;;;;;;;;;;
;Luxemburg;Luxembourg;371'573;123'474;;248'099;;;;;;;;
;Malta;Malte;56'822;54'040;;2'782;;;;;;;;
;Montenegro;Montenegro;12'356;12'356;;;;;;;;;;
;Niederlande;Pays-Bas;20'755'565;1'804'539;3'287'160;12'448'260;1'734'145;276'361;1'127'251;;10;77'839;;
;Norwegen;Norvège;7'010'359;102'931;4'790'854;1'486'178;16'128;;14'683;;599'585;;;
;Österreich;Autriche;6'473'364;123'711;657'949;5'640'924;;44'290;4'262;;2'228;;;
;Polen;Pologne;163'254;116'002;;47'252;;;;;;;;
;Portugal;Portugal;63'170;63'170;;;;;;;;;;
;Rumänien;Roumanie;496'940;15'348;10'500;466'503;;;4'589;;;;;
;San Marino;Saint-Marin;47'007;47'007;;;;;;;;;;
;Schweden;Suède;15'913'885;321'758;729'960;11'056'083;160'960;687'618;242'241;;794'455;1'816'442;104'368;
;Serbien;Serbie;225;225;;;;;;;;;;
;Slowakei;Slovaquie;15'439;14'511;;928;;;;;;;;
;Slowenien;Slovénie;5'091'429;21'144;224'235;4'846'050;;;;;;;;
