Andorra;1'600;;;;;;;;;;2008;
Belgien;647'477;2'442;1'863'959;204'501;;76'252'811;;340'251;51'787;;2008;
Bosnien und Herzeg.;224'127;19'880;;;;;;;;;2008;
Bulgarien;169'040;;35'702;;;;;151'508;;;2008;
Daenemark;68'874;9'444'242;9'276'014;1'082'920;;62'544'800;;1'272'070;;;2008;
Deutschland;6'441'579;15'289'934;21'884'756;244'330;215'589;31'805'319;19'293;4'355'266;284'480;367'248;2008;
Estland;2'510'683;;60'559;;;;;;;;2008;
Finnland;114'105;73'775;6'964'233;;;744'971;;105'306;22'558'374;;2008;
Frankreich;1'783'424;4'104'193;6'553'253;255'917;598'526;650'000;;;3'286'505;;2008;
Griechenland;41'070;943'696;;;2'909'665;161'096;;;;2'571;2008;
Grossbritannien;795'853;519'484;25'380'807;;111'364;1'733'145;;16'172'696;2'695'386;;2008;
Irland;68'315;;;1'953'258;;3'833'822;;;;;2008;
Island;3'650;;;;;;;;;;2008;
Italien;875'451;223'340;23'930;;4'497'974;1'890'054;;30'317;372'723;54'903;2008;
Kasachstan;10'000;;;;;;;;;;2008;
Kroatien;22'915;;;;;;;;;;2008;
Lettland;2'075;;;;;;53'735;;;;2008;
Litauen;14'550;;22'416;;;;;;;;2008;
Luxemburg;157'071;;574'968;;;;;;;;2008;
Malta;36'359;;26'074;;;;;;;;2008;
Niederlande;272'065;5'722'501;24'949'184;1'839'778;;6'648'128;;28'440;123'327;;2008;
Norwegen;37'506;1'829'960;3'959'981;;;85'165;;1'283'842;;6'410;2008;
Oesterreich;606'678;65'499;3'428'410;;103'164;60'211;;117'740;;;2008;
Polen;457'275;;4'221'213;;;;;;;;2008;
Portugal;13'835;;;;;;;;;;2008;
Rumaenien;315'949;382'032;194'688;;18'000;37'652'489;;;206'400;;2008;
Russland;50'406;;;;;;;;;;2008;
San Marino;7'832;;;;;;;;;;2008;
Schweden;219'051;508'920;6'535'831;35'900;3'165'230;1'473'483;;613'690;2'199'670;;2008;
Serbien;240;;;;;;;;;;2008;
Slowakei;19'915;;;;;;;;;;2008;
Slowenien;1'655;;3'695'832;;;;842;;;;2008;
Spanien;69'850;4'900'175;1'779'727;;10'306'367;338'202;17'930;;;19'140;2008;
Tschechische Rep.;152'675;;185'497;;;;;232'004;845;;2008;
Tuerkei;66'013;;3'869'622;2'640'000;36'000;;;;;;2008;
Ukraine;359'950;;36'057;;;;;;;;2008;
Zypern;;;;;238'336;;;;;;2008;
Aegypten;27'960;3'000;;;;;;;;;2008;
Botswana;;;;;;149'055;;;;;2008;
Ghana;838'750;;;;;;;;;;2008;
Kamerun;1'180;;;;;;;;;;2008;
Kenia;125'600;;;;;;;;;;2008;
Niger;1'582;;;;;;;;;;2008;
Suedafrika;24'911;98'783;71'868;;;;;467'896;;;2008;
Tansania;10'100;;80;;;;;;;;2008;
Argentinien;;106'818;;;;;;;;;2008;
Brasilien;;;;;559'380;3'452'118;;;;;2008;
Chile;1'830;;;;;493'701;;;;;2008;
Ecuador;;157'796;;;;;;;;;2008;
Kanada;489'968;;7'638'056;;15'832;451'760;;966'031;316'502;;2008;
U.S.A;1'664'866;645'253;1'805'326;1'453'448;260'000;1'050'814;;216'210;21'634'637;61'377;2008;
Arabische Emirate;735'672;178'475;279'270;;111'392;;;;;;2008;
Bahrain;750;;1'745'500;;;;;;;;2008;
Bangladesch;60;;;;;;;;;;2008;
Hongkong;3'300;;480;;;;;;;;2008;
Indien;;;;;2'686'226;;;;;;2008;
Israel;;;;;;1'711'118;;;;;2008;
Japan;114'480;;182'970;;;;;;;;2008;
Jordanien;11'095;;31'723;8'400;;1'185'000;;;;;2008;
Katar;76'100;;;;;;;;;;2008;
Korea (S?d);20'448;1'168'323;;144'300;131'047;;;2'629'764;;;2008;
Kuwait;67'431;;2'982;;;;;;;;2008;
Libanon;118'186;;3'000;;;;;;;;2008;
Macao;13'300;;;;;;;;;;2008;
Malaysia;105'228;24'789;855;3'759'939;9'111'407;;;;;;2008;
Oman;;;;;159'284;;;;;;2008;
Pakistan;2'900;79'806'710;;;30'035'300;;;;;;2008;
Saudi-Arabien;22'740;16'324'800;40;;15'392'430;368'071;;;;;2008;
Singapur;61'230;62'597;262'064;;583'915;;;2'090'400;;;2008;
Thailand;2'400;;;;;;;;;;2008;
Australien;13'419;2'830;5'510'211;;;;;;;;2008;
Neuseeland;94'481;;;;;;;;;;2008;
