AD;Europa;Andorra;Andorre
BE;Europa;Belgien;Belgique
BA;Europa;Bosnien und Herzeg.;Bosnie et Herzég.
BG;Europa;Bulgarien;Bulgarie
DK;Europa;Daenemark;Danemark
DE;Europa;Deutschland;Allemagne
EE;Europa;Estland;Estonie
FI;Europa;Finnland;Finlande
FR;Europa;Frankreich;France
GR;Europa;Griechenland;Grèce
GB;Europa;Grossbritannien;Grande-Bretagne
IE;Europa;Irland;Irlande
IS;Europa;Island;Islande
IT;Europa;Italien;Italie
KZ;Europa;Kasachstan;Kazakhstan
HR;Europa;Kroatien;Croatie
LV;Europa;Lettland;Lettonie
LT;Europa;Litauen;Lituanie
LU;Europa;Luxemburg;Luxembourg
MT;Europa;Malta;Malte
NL;Europa;Niederlande;Pays-Bas
NO;Europa;Norwegen;Norvège
AT;Europa;Österreich;Autriche
PL;Europa;Polen;Pologne
PT;Europa;Portugal;Portugal
RO;Europa;Rumänien;Roumanie
RU;Europa;Russland;Russie
SM;Europa;San Marino;Saint-Marin
SE;Europa;Schweden;Suède
RS;Europa;Serbien;Serbie
SK;Europa;Slowakei;Slovaquie
SI;Europa;Slowenien;Slovénie
ES;Europa;Spanien;Espagne
CZ;Europa;Tschechische Rep.;Tchèque, Rép.
TR;Europa;Türkei;Turquie
UA;Europa;Ukraine;Ukraine
CY;Europa;Zypern;Chypre
EG;Afrika;Ägypten;Egypte
BW;Afrika;Botswana;Botswana
GH;Afrika;Ghana;Ghana
CM;Afrika;Kamerun;Cameroun
KE;Afrika;Kenia;Kenya
NE;Afrika;Niger;Niger
ZA;Afrika;Südafrika;Afrique du Sud
TZ;Afrika;Tansania;Tanzanie
AR;Amerika;Argentinien;Argentine
BR;Amerika;Brasilien;Brésil
CL;Amerika;Chile;Chili
EC;Amerika;Ecuador;Equateur
CA;Amerika;Kanada;Canada
US;Amerika;U.S.A;U.S.A
AE;Asien;Arabische Emirate;Emirats arabes unis
BH;Asien;Bahrain;Bahreïn
BD;Asien;Bangladesch;Bangladesh
HK;Asien;Hongkong;Hong-Kong
IN;Asien;Indien;Inde
IL;Asien;Israel;Israël
JP;Asien;Japan;Japon
JO;Asien;Jordanien;Jordanie
QA;Asien;Katar;Qatar
KR;Asien;Korea (Süd);Corée (Sud)
KW;Asien;Kuwait;Koweït
LB;Asien;Libanon;Liban
MO;Asien;Macao;Macao
MY;Asien;Malaysia;Malaisie
OM;Asien;Oman;Oman
PK;Asien;Pakistan;Pakistan
SA;Asien;Saudi-Arabien;Arabie Saoudite
SG;Asien;Singapur;Singapour
TH;Asien;Thailand;Thaïlande
AU;Australien;Australien;Australie
NZ;Australien;Neuseeland;Nouvelle-Zélande
